trade_id,quantity,price,symbol,direction,maturity
DTDJV,502,297.4536932626085,MSFT,SELL,1
D68GG,637,185.82645841101026,GOOG,BUY,30
APUU1,907,925.3512897753405,GOOG,SELL,10
8NFZB,758,684.2257490662885,META,BUY,30
0I9FO,684,412.35291639645123,MSFT,BUY,5
G1ON7,323,659.146443921441,GOOG,BUY,10
MB14M,447,166.4320887986467,BRK.A,BUY,5
9SGDC,580,576.1369838149315,GOOG,SELL,5
0C6A7,870,235.90278952820714,META,SELL,20
XGVB1,810,680.6452460282223,MSFT,SELL,1
J60EW,764,791.2267734669474,V,BUY,1
Z722H,892,981.4082948816542,META,SELL,1
Q4DJZ,830,641.6918817679909,GOOG,BUY,20
SPQGN,260,533.5786615332147,NVDA,SELL,1
3IV6G,851,942.3478970335386,TSLA,BUY,10
554EL,136,712.5549089339581,AMZN,SELL,30
329RN,397,113.61666944024631,MSFT,BUY,1
H1O2V,611,722.17710658995,TSLA,BUY,5
TWD9U,313,776.758330421083,NVDA,BUY,30
1YVP4,921,583.1817908916375,BRK.A,SELL,1
28WCO,963,234.165338882988,AAPL,BUY,1
ZBPSN,640,280.3898570425057,META,BUY,5
D97PS,167,840.8778779104513,GOOG,BUY,1
UEHCY,296,509.7329416919493,TSLA,SELL,20
21OT6,683,454.55259532366415,MSFT,BUY,30
QUUVB,148,680.3043046759735,BRK.A,SELL,30
29QME,119,711.9801341871372,BRK.A,SELL,20
3KT1H,181,136.43222836627046,MSFT,BUY,10
4NVRA,327,621.323338205193,META,BUY,1
ZO5R1,284,785.8915505273704,V,SELL,5
BXDPN,973,959.8193801106457,MSFT,BUY,10
08NA3,91,684.4487096983589,V,SELL,5
HPVWB,28,320.7270751675171,MSFT,BUY,5
UTDN3,24,385.64407084543933,TSLA,BUY,30
GHCX2,847,884.7836049601932,NVDA,BUY,1
QFC8K,458,284.18648247621854,AAPL,BUY,5
23YL9,674,708.5267105724234,V,BUY,20
8P4OV,596,648.1936031714229,MSFT,SELL,10
CJUEP,715,695.3138805466753,JPM,SELL,1
EUT0W,768,551.6609858764614,AMZN,SELL,30
YFQ51,966,159.00175493014294,V,BUY,10
L4GKE,366,551.4857781461312,BRK.A,BUY,30
HTKLE,726,641.711197593404,MSFT,BUY,20
2YN8L,65,952.0467528175487,AAPL,BUY,1
53OWQ,67,308.3485341288051,NVDA,BUY,10
ZTJNJ,427,749.6314434365805,MSFT,BUY,5
YXG7D,844,783.1437701203715,MSFT,BUY,30
TX4B3,449,949.1592825428363,BRK.A,SELL,20
DWQ1M,498,206.1951833189232,AMZN,BUY,5
0J30I,819,414.0569469819031,V,BUY,1
9H4O5,759,351.5896033434718,GOOG,BUY,30
3WAAZ,582,178.14349461348343,NVDA,BUY,20
5HX4T,494,290.0009825566059,NVDA,BUY,30
ZDRJY,200,507.6395816562834,AAPL,SELL,30
3F5F8,837,154.56242131007906,AMZN,SELL,20
PY0KW,205,213.93046572894536,V,SELL,30
VDZ4H,817,575.9352459864731,MSFT,BUY,30
LPO25,860,401.02964485605844,TSLA,BUY,30
QW346,681,277.267236877306,GOOG,BUY,1
Z3PR6,605,153.76144219032562,AAPL,BUY,20
7BEJ5,95,704.1884086034321,AAPL,SELL,30
KQTTB,831,910.0906359204205,V,BUY,20
ORB5Z,565,437.52581492607146,BRK.A,BUY,1
ZKQRD,721,880.5999518930719,META,BUY,20
K4V7Z,615,171.78190379656462,META,SELL,10
ONB5V,227,396.9467383465354,GOOG,SELL,20
RQWSZ,575,350.72116674562983,META,SELL,10
DC7XH,543,706.6871242070574,TSLA,BUY,1
ZM83Y,729,413.78284833410027,META,BUY,20
1UWV5,845,380.4167883779046,GOOG,BUY,10
IZZA1,892,385.8341953676094,JPM,SELL,30
NLIJC,210,577.0452076098084,MSFT,SELL,1
J23EZ,939,677.3088614842006,META,SELL,30
UDI3W,53,490.9722103206435,MSFT,SELL,20
UPXTK,922,981.2378998262783,TSLA,SELL,20
41Q8Y,145,256.6335348017734,NVDA,SELL,30
OYQ02,155,290.3655295127444,JPM,BUY,10
GIO7K,554,801.2519221772927,NVDA,SELL,30
QSJ74,55,672.7590771164014,V,SELL,10
TE9XR,728,111.05385458615241,JPM,BUY,10
QGIWW,795,108.62050521839053,TSLA,BUY,1
W894H,247,500.43913593959036,TSLA,SELL,20
HBLNY,151,158.2156828136551,TSLA,BUY,10
H3ZA0,33,934.8442132189086,NVDA,BUY,10
68DGY,566,318.61764090099314,GOOG,SELL,1
